emp_no,first_name,last_name,title,from_date,to_date
78363,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01
79190,Tsuneo,Servi,Staff,1999-06-30,2001-06-02
79239,Denny,Griswold,Senior Engineer,1989-05-18,2001-11-19
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01
79640,Marl,Litzkow,Staff,1991-10-12,1993-10-22
79722,Make,Remmers,Staff,1997-08-07,1998-08-08
79763,Sanjoy,Barreiro,Senior Staff,1988-04-09,9999-01-01
79895,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,1985-11-09,9999-01-01
80203,Shakhar,Baik,Staff,1993-12-01,9999-01-01
80432,Stella,Figueira,Staff,1990-03-14,9999-01-01
80656,Kwan,Gide,Engineer,1998-06-24,2001-07-01
80731,Shaowen,Eldridge,Staff,1987-12-05,9999-01-01
80745,Rimli,Huttel,Staff,1989-12-14,1996-11-29
80850,Koldo,Luit,Senior Engineer,1995-04-16,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01
80948,Harjit,Bardell,Engineer,1991-05-24,9999-01-01
81105,Jaewon,Boissier,Engineer,1992-05-24,9999-01-01
81162,Marco,Klerer,Senior Engineer,1995-02-28,2001-02-02
81545,Larisa,Kornyak,Technique Leader,2000-02-07,9999-01-01
81619,Gen,Aloisi,Engineer,1985-03-12,2002-07-25
81644,Divine,Ghandeharizadeh,Staff,1997-11-28,9999-01-01
81995,Sreekrishna,Brender,Senior Engineer,1990-03-22,9999-01-01
82069,Yechezkel,Perfilyeva,Engineer,1994-11-03,9999-01-01
82098,Poornachandra,Wilharm,Engineer,1991-04-20,9999-01-01
82351,Stevo,Thambidurai,Senior Staff,1989-10-27,9999-01-01
82511,Uwe,Koblick,Engineer,1998-04-04,9999-01-01
82919,Shigeu,Claffy,Engineer,1998-12-19,9999-01-01
82928,Alselm,Rikino,Engineer,1990-11-16,9999-01-01
83280,Francesca,Ellozy,Senior Engineer,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,Engineer,1994-01-09,9999-01-01
83509,Breannda,Collavizza,Engineer,1989-10-12,9999-01-01
83544,Leaf,Baak,Senior Staff,1994-09-05,9999-01-01
83714,Ohad,Kilgore,Engineer,2000-10-10,9999-01-01
83805,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01
83922,Shunichi,Solovay,Engineer,1986-06-07,1998-11-18
83941,Zsolt,Hagimont,Senior Staff,1996-10-08,9999-01-01
84029,Babette,Eugenio,Staff,1997-09-21,9999-01-01
84163,Zejun,Roisin,Senior Staff,1997-05-26,2002-01-16
84179,Shuichi,Nanard,Senior Engineer,1989-03-14,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,1987-06-04,9999-01-01
84256,Denny,Cheshire,Staff,1989-11-23,1992-08-08
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01
84494,Janalee,Loncour,Staff,1986-04-12,1987-09-04
84508,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01
84840,Sverrir,Neimat,Staff,1996-11-03,9999-01-01
84922,Parke,Unno,Engineer,1996-07-01,9999-01-01
84942,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01
85216,Ferdinand,Rosiles,Senior Staff,1997-07-08,9999-01-01
85288,Younwoo,Luders,Senior Engineer,1998-12-08,9999-01-01
85414,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01
85445,Yongdong,Pollock,Staff,1998-03-17,9999-01-01
85702,Udi,Merks,Engineer,1997-08-15,9999-01-01
85874,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01
86213,Kristine,Clemencon,Staff,1993-06-01,9999-01-01
86324,Maia,Berstel,Engineer,1997-09-29,2002-01-13
86354,Ronghao,Segond,Senior Engineer,1993-09-13,9999-01-01
86422,Jaewon,Thummel,Staff,1985-09-14,9999-01-01
86546,Oldrich,Woycyznski,Engineer,1985-05-15,9999-01-01
86655,Zhenhua,Lorys,Engineer,1995-08-21,9999-01-01
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01
87129,Keung,Neiman,Staff,1997-04-13,9999-01-01
87353,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01
87458,Mikhail,Gimbel,Senior Staff,1993-12-22,1999-04-29
87714,Khun,Janetzko,Engineer,1989-09-13,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,1986-12-10,9999-01-01
87783,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01
88103,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01
88357,Manohar,Karcich,Staff,1998-08-07,2000-08-22
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01
88647,Vasiliy,Ratnaker,Engineer,1995-08-09,9999-01-01
88958,Vojin,Coombs,Staff,1995-07-23,9999-01-01
88965,Mang,Hedayat,Engineer,1995-05-22,9999-01-01
89048,Otmar,Birjandi,Engineer,1985-03-23,9999-01-01
89090,Tetsushi,Theuretzbacher,Senior Staff,1990-02-01,9999-01-01
89161,Conal,Yetto,Senior Staff,1991-01-12,9999-01-01
89207,Along,Erol,Senior Staff,1992-10-16,9999-01-01
89346,Mansur,Comyn,Engineer,1999-08-31,9999-01-01
89487,Kazuhira,Seiwald,Engineer,1995-03-25,1999-03-24
89590,Guther,Rothenberg,Staff,1991-08-08,9999-01-01
89664,Pranjal,Rossi,Staff,1998-07-07,9999-01-01
89680,Aiman,Mawatari,Engineer,1988-05-01,9999-01-01
89806,Xiadong,Shinomoto,Senior Engineer,1997-05-24,9999-01-01
89922,Alexius,Ibel,Engineer,1988-04-24,9999-01-01
89941,Arnould,Weedman,Senior Staff,1989-07-28,9999-01-01
90077,Vivian,Guerreiro,Assistant Engineer,1991-07-08,9999-01-01
90084,Renny,Bale,Senior Engineer,1989-11-22,9999-01-01
90116,Brigham,Luiz,Assistant Engineer,1990-04-10,1995-06-10
90211,Bader,Denis,Engineer,1997-10-06,9999-01-01
90292,Koichi,Assaf,Engineer,1990-05-26,9999-01-01
90366,Magy,Eiron,Senior Staff,1998-08-03,2002-03-03
90518,Fumiko,Chepyzhov,Senior Staff,1988-01-28,9999-01-01
90614,Yonghoan,Trogemann,Assistant Engineer,1988-09-23,9999-01-01
90692,Rajmohan,DasSarma,Senior Staff,1985-09-14,9999-01-01
91172,Kazuhisa,Melter,Staff,1987-07-16,9999-01-01
91182,Lucien,Schwartzburd,Engineer,1988-08-25,9999-01-01
91229,Yahiko,Hebden,Engineer,1996-10-03,9999-01-01
91256,Gunilla,Milicic,Staff,1998-01-09,9999-01-01
91308,Remmert,Plumb,Engineer,1986-06-14,1995-12-08
91333,Lobel,Stafford,Staff,1998-11-29,9999-01-01
91415,Jamaludin,Nilsson,Senior Staff,1987-01-15,9999-01-01
91462,Siamak,Janocha,Engineer,1997-08-26,1998-03-21
91648,Dmitry,Msuda,Senior Staff,1988-10-22,9999-01-01
91934,Nikolaus,Swen,Engineer,2000-01-28,2002-07-03
91973,Jianwen,Jakobus,Senior Engineer,1998-08-24,2001-02-12
92438,Aria,Kilgore,Engineer,1992-04-11,9999-01-01
92443,Girolamo,Bellmore,Senior Staff,1996-12-04,2000-04-27
92454,Visit,McFarlan,Senior Engineer,1987-10-22,9999-01-01
92577,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,9999-01-01
92598,Ranga,Merro,Assistant Engineer,1996-05-11,9999-01-01
92685,Mang,Atchley,Senior Staff,1995-06-07,9999-01-01
92841,Claude,Candan,Senior Staff,1993-08-04,9999-01-01
92846,Anyuan,Kropatsch,Senior Staff,1986-09-05,9999-01-01
92920,Huei,Hutter,Engineer,1993-01-28,9999-01-01
93040,Jaques,Kabayashi,Senior Engineer,1992-03-13,9999-01-01
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01
93278,Magdalena,Penn,Engineer,1997-01-04,9999-01-01
93549,Arie,Coullard,Senior Staff,2000-03-28,9999-01-01
93600,Kristina,Neimat,Technique Leader,1988-04-18,9999-01-01
93794,Rimli,Werthner,Senior Engineer,1994-05-27,2000-12-30
94045,Gift,Brender,Senior Engineer,1996-10-31,2000-01-02
94131,Bernardo,Vasanthakumar,Staff,1997-05-01,1997-07-20
94331,Ramzi,Cronau,Technique Leader,1999-09-03,9999-01-01
94416,Aran,Cesareni,Senior Staff,2001-11-20,9999-01-01
94442,Bilhanan,Marrakchi,Staff,1998-02-03,2000-10-12
94690,Kazuyasu,Sridhar,Staff,1999-12-22,2001-12-03
94761,Hitofumi,Zaccaria,Senior Engineer,1988-11-22,9999-01-01
94787,Shigenori,Stanfel,Staff,1993-04-25,1999-12-11
94944,Heping,Matheson,Engineer,1988-06-24,9999-01-01
95181,Yishai,Cappelli,Staff,1997-01-30,9999-01-01
95286,Kristin,Guerreiro,Senior Engineer,1989-08-23,9999-01-01
95314,Rasiah,Koblick,Senior Staff,1991-08-21,9999-01-01
95406,Alair,Lyonns,Engineer,1997-07-12,9999-01-01
95416,Gianluca,Ramaiah,Engineer,1993-11-29,9999-01-01
95509,Kristinn,Loncour,Engineer,1995-02-08,9999-01-01
95692,Abdulah,Hofstetter,Engineer,2000-05-24,2000-07-24
95920,Nobuyoshi,Hegner,Senior Staff,1994-09-07,9999-01-01
96100,Pranay,Rebaine,Senior Engineer,1998-02-01,2000-12-31
96571,Kokou,Garrabrants,Senior Engineer,1997-11-05,9999-01-01
96579,Mohan,Tasistro,Engineer,1996-02-10,9999-01-01
96767,Arumugam,Vecchio,Engineer,1985-08-14,9999-01-01
97018,Jeanna,Chinen,Engineer,1989-01-01,9999-01-01
97092,Anwar,Riexinger,Engineer,1991-12-31,2000-01-09
97623,Haldon,Janetzko,Staff,1990-09-11,9999-01-01
97661,Avishai,Hegner,Staff,1993-05-08,9999-01-01
97697,Moie,Karunanithi,Engineer,1994-11-02,2000-12-15
98288,Sumali,Huttel,Staff,1989-09-12,9999-01-01
98306,Ziya,Kadhim,Senior Engineer,1999-06-24,9999-01-01
98514,Giao,Junot,Staff,1999-07-01,2002-02-25
98639,Florina,Assaf,Staff,1996-05-18,9999-01-01
99057,Shugo,Reeken,Staff,1999-06-21,9999-01-01
99373,Xiaobin,Christianini,Staff,1985-12-25,9999-01-01
99377,Carrsten,Francisci,Senior Engineer,1991-06-16,9999-01-01
99590,Dhritiman,Anily,Staff,1998-12-16,9999-01-01
99654,Mahendra,Motley,Senior Staff,1985-09-28,9999-01-01
100865,Hisao,Peral,Engineer,1990-10-03,9999-01-01
100877,Kazuhide,Harnett,Engineer,1995-02-02,1999-02-13
100916,Heejo,Aamodt,Senior Engineer,1992-04-22,9999-01-01
101063,Nectarios,Munos,Senior Engineer,1994-08-31,1995-08-14
101487,Abdelaziz,Sury,Senior Staff,1991-01-31,9999-01-01
101647,Mori,Homond,Senior Staff,1994-05-10,9999-01-01
101902,Mantis,Millington,Staff,1991-03-18,9999-01-01
102620,Adin,Templeman,Engineer,1999-08-12,9999-01-01
103166,Waiman,Dalton,Engineer,1990-05-25,2002-02-09
103172,Doowon,Highland,Senior Engineer,1989-12-28,1995-11-23
103196,Djenana,Albarhamtoshy,Senior Staff,1988-07-16,9999-01-01
103310,Visit,Swen,Senior Staff,1995-10-02,9999-01-01
103316,Susanne,Peternell,Engineer,1994-07-27,9999-01-01
103342,Beshir,Hellwagner,Engineer,1998-02-03,9999-01-01
103756,Heping,Halloran,Engineer,1992-04-08,9999-01-01
104133,Pranjal,Zyda,Senior Staff,1991-07-03,9999-01-01
104845,Werner,Lodder,Staff,1992-06-17,9999-01-01
104962,Zongyan,Auyong,Engineer,1987-11-02,1991-12-22
104988,Parviz,Litzler,Senior Engineer,1992-08-08,9999-01-01
105191,Jaber,Kleiser,Engineer,1986-12-13,1987-09-22
105342,Kwun,Reeker,Technique Leader,1999-07-29,9999-01-01
105356,Diederik,Matzov,Engineer,1995-03-08,9999-01-01
105432,Mohamadou,Stafford,Engineer,1995-09-12,9999-01-01
105520,Haldun,Lienhardt,Senior Staff,1987-01-29,9999-01-01
105589,Yechiam,Egerstedt,Engineer,1995-12-31,1999-07-18
105731,Sachem,Cromarty,Assistant Engineer,1990-08-20,9999-01-01
105936,Vidar,Thibadeau,Staff,1995-03-02,1999-09-15
106096,Naftali,Schurmann,Engineer,1992-12-02,9999-01-01
106242,Nevio,Thisen,Senior Staff,1988-03-25,9999-01-01
106514,Otilia,Speek,Senior Engineer,1988-07-30,1992-11-07
106695,Lijie,Garrabrants,Staff,1988-10-26,9999-01-01
106710,Babette,Anandan,Staff,1986-11-22,9999-01-01
106958,Horward,Begiun,Engineer,1985-11-06,2002-05-22
107486,Siamak,Luiz,Senior Engineer,1987-02-11,9999-01-01
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01
107792,Shahab,Crooks,Staff,1992-03-18,9999-01-01
107828,Ramya,Walston,Senior Staff,1989-02-03,9999-01-01
108091,Hisao,Ghemri,Senior Staff,1985-11-14,9999-01-01
108198,Randi,Samarati,Staff,1992-10-20,9999-01-01
108316,Shai,Stellhorn,Senior Engineer,1992-05-21,9999-01-01
108988,Oksana,Baek,Senior Staff,1989-07-20,9999-01-01
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01
109211,Gor,Delgrande,Engineer,2002-06-18,9999-01-01
109252,Moty,Winter,Technique Leader,1991-04-28,9999-01-01
109278,Bangqing,Schach,Staff,1988-03-22,9999-01-01
109547,Chenye,Zizka,Senior Staff,1986-02-22,2002-04-21
109552,Menkae,Etalle,Assistant Engineer,1997-05-21,9999-01-01
109553,Xiaobin,DuBourdieux,Staff,1985-09-16,1988-05-11
109598,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01
109611,Jamaludin,Lalonde,Staff,1994-07-09,1998-08-24
109620,Mani,Cannata,Senior Staff,1989-06-21,9999-01-01
109652,Huan,Perko,Staff,1988-07-31,1999-03-12
109703,Arco,Walston,Engineer,1999-08-16,9999-01-01
109741,Hatem,Fadgyas,Senior Engineer,1991-11-13,9999-01-01
109953,Godehard,Chorvat,Senior Staff,1988-04-10,9999-01-01
200052,Slavian,Cincotta,Senior Engineer,1992-05-30,1997-07-07
200176,Shahab,Luit,Senior Staff,1985-11-20,1997-02-05
200267,Chuanti,Luff,Staff,1994-09-21,9999-01-01
200312,Akemi,Fujisaki,Senior Engineer,2001-11-13,9999-01-01
200363,Kirk,Quaggetto,Engineer,1987-06-30,9999-01-01
200735,Dinah,Denos,Senior Staff,1992-09-21,9999-01-01
200789,Susumu,Camurati,Senior Staff,1991-12-15,9999-01-01
201180,Odinaldo,Bridgland,Assistant Engineer,1989-06-09,1995-06-16
201229,Alejandra,Khasidashvili,Staff,1994-07-30,9999-01-01
201708,Anneli,Perl,Senior Staff,1992-09-08,9999-01-01
201709,Fan,Kakkad,Staff,1988-02-25,9999-01-01
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,9999-01-01
201801,Waiman,Genin,Engineer,1988-10-30,9999-01-01
201915,Sudharsan,DeMori,Engineer,1992-03-30,9999-01-01
202031,Annemarie,Peternell,Engineer,1994-03-13,1997-06-05
202291,Ortrun,Schmiedel,Engineer,1997-07-18,9999-01-01
202403,Gully,Perko,Engineer,1999-07-07,9999-01-01
202414,Zvonko,Murthy,Senior Staff,1992-01-07,9999-01-01
202552,Morris,Saoudi,Engineer,1991-11-22,9999-01-01
202581,Dharmaraja,Merlo,Staff,1987-06-05,1990-12-16
202826,Kerhong,Matzke,Engineer,1986-11-14,9999-01-01
202882,Isaac,Koshino,Senior Engineer,1995-09-28,9999-01-01
202950,Giordano,Pietrzykowski,Senior Staff,1987-03-26,9999-01-01
203474,Hugh,Jonsson,Senior Staff,1991-07-06,9999-01-01
203495,Zongyan,Gips,Technique Leader,1997-05-31,9999-01-01
203599,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01
203697,Claude,Kemmerer,Engineer,1994-01-16,2001-05-07
203720,Sasan,Thimonier,Senior Staff,1996-08-21,9999-01-01
203946,Yefim,Marwedel,Senior Staff,1993-03-30,9999-01-01
204117,Jessie,Nooteboom,Staff,2000-12-13,9999-01-01
204133,Susuma,Bergere,Senior Staff,1996-02-25,9999-01-01
204246,Arve,Worfolk,Staff,1985-04-01,9999-01-01
204425,Gretta,Huttel,Senior Engineer,1990-10-08,9999-01-01
204470,Hein,Lichtner,Senior Staff,1998-05-02,9999-01-01
204471,Franziska,Maginnis,Engineer,1986-02-17,9999-01-01
204764,Susanne,Mandelberg,Senior Engineer,1990-11-02,9999-01-01
205018,Yahiko,Awdeh,Engineer,1998-08-05,9999-01-01
205085,Moni,Kornyak,Technique Leader,1991-09-26,9999-01-01
205174,Leszek,Spinelli,Staff,1998-12-10,9999-01-01
205362,Masasuke,Makinen,Staff,1992-07-02,1997-06-01
205500,Mary,Setiz,Senior Engineer,1989-01-13,9999-01-01
205627,Stabislas,Broder,Engineer,1996-07-16,9999-01-01
205660,Kien,Barreiro,Staff,2000-10-24,9999-01-01
205699,Youjian,Yetto,Senior Staff,1994-12-07,9999-01-01
205789,Limsoon,Skafidas,Senior Staff,1999-08-10,9999-01-01
205863,Aiichiro,Kusalik,Engineer,1990-10-04,9999-01-01
206372,Temple,Joslin,Engineer,1995-11-14,1996-04-24
206748,Yucai,Fabrizio,Staff,1999-10-06,9999-01-01
206836,Guadalupe,Pfau,Senior Staff,1993-03-22,9999-01-01
206865,Vasilii,Cochrane,Senior Engineer,1991-09-13,2001-04-23
206966,Tzu,Sichman,Engineer,1987-11-17,9999-01-01
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,9999-01-01
207068,Zhiguo,Ariola,Senior Staff,1994-09-07,9999-01-01
207204,Kellie,Schrooten,Assistant Engineer,1991-01-17,9999-01-01
207401,Shuji,Barbanera,Staff,1987-08-10,9999-01-01
207551,Baziley,Falck,Assistant Engineer,1995-02-18,9999-01-01
207779,Chinya,Kamble,Senior Staff,1992-05-31,9999-01-01
207980,Remko,Vieth,Staff,1990-11-22,9999-01-01
208147,Manu,Rothenberg,Engineer,1988-12-06,9999-01-01
208330,Shen,Flanders,Senior Staff,1989-07-03,9999-01-01
208639,Larisa,Lukaszewicz,Senior Staff,1996-10-30,9999-01-01
208653,Phillip,Schade,Senior Engineer,1989-03-03,9999-01-01
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,9999-01-01
209101,Xinyu,Edelhoff,Senior Engineer,1997-10-26,9999-01-01
209443,Krassimir,Garnier,Senior Staff,1998-01-26,9999-01-01
209456,Adhemar,Leonhardt,Engineer,1999-07-27,1999-12-30
209565,Dante,Covnot,Staff,1989-05-28,9999-01-01
209681,Tianruo,Bratten,Senior Staff,1997-10-10,1998-04-03
209712,Nimmagadda,Baak,Assistant Engineer,1987-10-30,9999-01-01
209945,Roded,Veevers,Engineer,1990-10-23,1996-01-08
210017,Shalesh,Lovengreen,Senior Staff,1990-09-29,9999-01-01
210292,Lihong,Zeilberger,Staff,1996-04-28,9999-01-01
210449,Gino,Lagarias,Engineer,1997-06-22,9999-01-01
210529,Adam,Besancenot,Senior Staff,1990-09-27,1995-02-04
210610,Arco,Crouzet,Engineer,1994-09-03,2000-09-30
210752,Saniya,Stenning,Staff,1986-12-10,9999-01-01
210786,Werner,Ranze,Staff,1998-06-05,9999-01-01
211569,Zhonghua,Snyers,Staff,1989-04-23,1999-07-18
211858,Domenico,Ratnaker,Senior Engineer,1985-03-24,9999-01-01
211879,Gao,Ranze,Senior Engineer,1994-11-24,9999-01-01
211967,Anwar,Bain,Senior Engineer,1989-01-22,9999-01-01
212074,Tomokazu,Byoun,Engineer,1996-07-30,2002-04-08
212093,Leni,Henders,Staff,1993-11-19,9999-01-01
212131,Debatosh,Rajala,Staff,1994-01-19,1994-04-22
212154,Sailaja,Holburn,Staff,1991-03-04,9999-01-01
212361,Claudi,Stanfel,Engineer,1996-01-07,9999-01-01
212703,Kien,Bennis,Engineer,1993-01-06,1998-03-14
212810,Qingxiang,Swan,Senior Staff,1990-10-04,2002-03-13
213016,Yongmao,Fontan,Engineer,1993-07-26,9999-01-01
213140,Tru,Danecki,Staff,1997-03-31,9999-01-01
213384,Pranas,Narwekar,Engineer,1985-09-26,9999-01-01
213447,Armond,Perly,Engineer,1989-09-14,9999-01-01
214184,Sivanarayana,Ranka,Engineer,1999-10-25,2001-05-03
214215,Xiaoqiang,Cardazo,Senior Staff,1993-05-28,9999-01-01
214391,Rayond,Klassen,Senior Staff,1993-09-11,9999-01-01
214427,Peer,Molberg,Engineer,1996-11-17,9999-01-01
214539,Ingmar,Kohling,Engineer,1995-04-25,9999-01-01
214634,Shirish,Vickson,Senior Engineer,1989-10-24,9999-01-01
214789,Arfst,Chepyzhov,Senior Engineer,1989-02-06,9999-01-01
214807,Prasadram,Qiwen,Assistant Engineer,1992-09-04,1997-11-25
214866,Gopalakrishnan,Angel,Senior Engineer,1997-07-05,9999-01-01
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,9999-01-01
215419,Flemming,Kroha,Staff,1995-01-23,9999-01-01
215629,Munehiro,Manders,Senior Staff,1987-05-18,9999-01-01
215746,Sven,Speer,Staff,1999-07-08,9999-01-01
215843,Pramod,Loncour,Staff,1987-03-31,9999-01-01
216054,Sahrah,Angiulli,Staff,1986-07-31,9999-01-01
216062,Shuichi,Anick,Engineer,1985-11-24,1999-10-26
216246,Francoise,Rullman,Staff,1997-12-30,2000-01-12
216342,Aiichiro,Cromarty,Senior Engineer,1995-06-10,9999-01-01
216375,Byong,Gustavson,Senior Engineer,1985-03-12,9999-01-01
216502,Xiaocheng,Suermann,Engineer,1997-12-15,9999-01-01
216573,Ashish,Vidya,Engineer,1989-06-16,9999-01-01
216921,Lena,Lenart,Senior Staff,1990-12-25,9999-01-01
217026,Otmar,Engberts,Senior Staff,1993-08-16,9999-01-01
217080,Masami,Puoti,Senior Engineer,2000-01-21,9999-01-01
217272,Yuchang,Eldridge,Staff,1986-08-01,9999-01-01
217286,Yannik,Spelt,Technique Leader,1992-09-22,9999-01-01
217320,Abdelwaheb,Denis,Engineer,1993-09-10,9999-01-01
217363,Horward,Marzano,Staff,1996-04-11,9999-01-01
217387,Jianhao,Molenaar,Senior Engineer,1987-10-22,9999-01-01
217551,Panayotis,Lukaszewicz,Engineer,1989-06-06,9999-01-01
217800,Shay,Servieres,Senior Staff,1998-08-06,9999-01-01
218022,Mokhtar,Poupard,Technique Leader,1992-02-02,9999-01-01
218100,Jiong,Garnham,Senior Staff,1990-01-02,9999-01-01
218299,Almudena,Genin,Senior Staff,1986-09-26,2001-11-06
218829,Eckart,Foong,Staff,1989-11-26,1996-01-28
218831,Unal,DuBourdieux,Engineer,1996-03-13,9999-01-01
219035,Kristine,Bierman,Technique Leader,1988-05-13,9999-01-01
219047,Aemilian,Kusalik,Engineer,1987-05-27,9999-01-01
219052,Marsal,Acton,Staff,1995-08-02,9999-01-01
219417,Subhrajyoti,Denna,Staff,1996-07-25,9999-01-01
219497,Moie,Zastre,Technique Leader,1991-10-11,9999-01-01
219967,Susanna,Reeken,Senior Staff,1998-03-16,9999-01-01
220029,Demos,Asser,Senior Engineer,1985-11-04,9999-01-01
220131,Reinhard,Slaats,Senior Engineer,1994-06-08,9999-01-01
220418,Poorav,Laventhal,Staff,1997-08-16,9999-01-01
220528,Sibyl,Rabehasaina,Senior Staff,1998-02-23,9999-01-01
220582,Poornachandra,Zielinski,Senior Staff,1996-02-13,9999-01-01
220611,Yuping,Babb,Senior Staff,1995-01-31,9999-01-01
220625,Shigenori,Deville,Technique Leader,1992-12-24,9999-01-01
220699,Nahid,Gyimothy,Staff,1995-08-18,9999-01-01
220799,Perla,Orlowska,Senior Engineer,1998-10-13,9999-01-01
221126,Tesuya,dAstous,Engineer,1988-11-29,9999-01-01
221367,Saddek,Farris,Senior Staff,1990-11-06,9999-01-01
221369,Abdulah,Pocchiola,Engineer,1996-08-28,9999-01-01
221435,Djenana,Marrevee,Engineer,1994-02-06,9999-01-01
221699,Szabolcs,Georgatos,Engineer,1999-08-16,2000-02-06
221973,Sangeeta,Kalefeld,Senior Staff,1990-06-06,9999-01-01
222206,Stein,Uludag,Staff,1988-01-30,9999-01-01
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,9999-01-01
222319,Matt,Chvatal,Senior Engineer,1994-11-09,9999-01-01
222354,Valdiodio,Schlumberger,Engineer,1993-08-07,9999-01-01
222616,Badri,Schapire,Assistant Engineer,1998-01-19,9999-01-01
222701,Lein,Delaune,Senior Staff,1990-06-30,1991-09-14
222770,Kazuhiko,Kushner,Senior Engineer,1995-08-01,9999-01-01
222878,Annemarie,Zallocco,Engineer,1996-12-01,9999-01-01
222926,Limsoon,Erol,Senior Engineer,1997-12-31,9999-01-01
222952,Gopalakrishnan,Suermann,Engineer,1991-04-30,9999-01-01
222998,Leaf,Awdeh,Senior Staff,1992-10-02,9999-01-01
223593,Hidefumi,Moehrke,Staff,1998-03-04,9999-01-01
223595,Chiranjit,Dredge,Technique Leader,1999-09-05,9999-01-01
224135,Annemarie,Bressoud,Engineer,1998-06-23,9999-01-01
224335,Perry,Chachaty,Engineer,1985-07-22,9999-01-01
224390,True,Shobatake,Senior Staff,1996-05-17,9999-01-01
224934,George,Miake,Staff,1988-01-02,9999-01-01
225438,Remmert,Quaggetto,Staff,1992-04-28,9999-01-01
225601,Masasuke,Genin,Assistant Engineer,1994-06-25,9999-01-01
225788,Ipke,Kieras,Engineer,1995-12-18,9999-01-01
225867,Ramalingam,Remmele,Senior Engineer,1999-09-03,9999-01-01
225964,Mooi,Cooman,Engineer,1989-06-07,9999-01-01
226216,Giordano,Gini,Technique Leader,1993-08-14,9999-01-01
226227,Herbert,Erva,Engineer,1986-09-06,9999-01-01
227354,Gio,Murtha,Engineer,1986-11-11,9999-01-01
227476,Macha,Schnabel,Engineer,1988-05-11,9999-01-01
227681,Mikhail,Rousseau,Staff,1998-11-30,9999-01-01
227899,Garnik,Luce,Staff,1998-09-15,9999-01-01
227901,Francesca,Azuma,Senior Staff,1996-06-08,9999-01-01
228098,IEEE,Kroll,Engineer,1998-02-17,9999-01-01
228248,Yuriy,Plump,Senior Staff,1988-09-08,9999-01-01
228554,Bilhanan,Brendel,Senior Staff,1990-12-23,9999-01-01
228575,Takanari,Pelc,Engineer,1990-08-18,1992-09-25
228766,Nahla,Smailagic,Engineer,1993-02-12,9999-01-01
229098,Berry,Yurek,Senior Staff,1995-08-16,9999-01-01
229207,Filipe,Erol,Senior Engineer,1997-07-11,1999-08-15
229220,Fabrizio,Lichtman,Engineer,1987-02-09,9999-01-01
229248,Harjit,Terekhov,Staff,1995-10-19,9999-01-01
229352,Kwangho,Petereit,Engineer,1999-08-10,2000-05-06
229364,Dulce,Magliocco,Staff,1987-02-13,1987-02-23
229386,Pohua,Tasistro,Technique Leader,1994-11-04,9999-01-01
229391,Paloma,Henseler,Engineer,1991-06-11,9999-01-01
229404,Gilbert,Kilgour,Staff,1996-04-05,9999-01-01
229547,Moni,Schach,Senior Staff,1986-07-04,9999-01-01
229690,Mokhtar,Sherertz,Senior Staff,1988-06-09,1995-11-08
229727,Ewing,Millington,Engineer,1999-09-28,9999-01-01
229981,Jamaludin,Fordan,Senior Engineer,1992-02-06,9999-01-01
